date,amount,category,description
2025-07-13,100.72,Shopping,Nike online purchase
2025-07-13,52.94,Transportation,Subway fare
2025-07-14,62.71,Dining,Chipotle lunch
2025-07-14,163.88,Healthcare,Eye exam appointment
2025-07-15,116.94,Shopping,Zara clothing
2025-07-16,387.63,Healthcare,Health insurance copay
2025-07-16,153.11,Utilities,Electricity monthly charge
2025-07-16,41.95,Dining,Domino's pizza order
2025-07-16,97.48,Dining,Burger King drive-thru
2025-07-17,275.95,Utilities,Comcast internet
2025-07-17,47.86,Dining,Starbucks coffee
2025-07-17,36.08,Transportation,Lyft trip
2025-07-18,96.39,Groceries,Trader Joe's groceries
2025-07-18,318.56,Shopping,Target household items
2025-07-19,45.67,Transportation,Gas station fill-up
2025-07-20,368.35,Groceries,Aldi supermarket
2025-07-20,137.23,Groceries,Aldi supermarket
2025-07-20,33.83,Dining,Sushi restaurant
2025-07-20,44.01,Dining,Domino's pizza order
2025-07-21,88.79,Entertainment,Movie theater tickets
2025-07-21,64.58,Entertainment,Streaming movie rental
2025-07-21,33.12,Dining,Local cafe breakfast
2025-07-21,162.64,Shopping,Nike online purchase
2025-07-21,120.08,Groceries,Fresh produce market
2025-07-22,233.95,Shopping,Apple Store accessory
2025-07-22,190.41,Shopping,Target household items
2025-07-22,97.17,Groceries,Costco bulk buy
2025-07-23,73.81,Dining,Taco Bell late night
2025-07-23,90.38,Dining,Domino's pizza order
2025-07-24,78.16,Dining,Domino's pizza order
2025-07-24,23.19,Dining,Burger King drive-thru
2025-07-24,139.29,Groceries,Local farmer's market
2025-07-24,220.49,Groceries,Costco bulk buy
2025-07-24,52.22,Transportation,Train ticket
2025-07-25,72.97,Transportation,Subway fare
2025-07-25,228.28,Healthcare,Health insurance copay
2025-07-25,111.75,Entertainment,Theme park tickets
2025-07-25,101.02,Utilities,Water utility bill
2025-07-25,149.96,Healthcare,Eye exam appointment
2025-07-25,279.94,Shopping,Apple Store accessory
2025-07-26,53.88,Dining,Panda Express
2025-07-26,76.41,Entertainment,Comedy show tickets
2025-07-27,191.77,Groceries,Local farmer's market
2025-07-27,84.53,Shopping,Etsy handmade item
2025-07-27,58.82,Dining,McDonald's meal
2025-07-27,69.73,Dining,Burger King drive-thru
2025-07-27,98.12,Shopping,Etsy handmade item
2025-07-28,59.84,Groceries,Aldi supermarket
2025-07-28,42.71,Dining,Domino's pizza order
2025-07-28,25.5,Dining,Starbucks coffee
2025-07-28,330.72,Healthcare,Lab work fees
2025-07-29,290.51,Healthcare,Eye exam appointment
2025-07-29,220.16,Shopping,Etsy handmade item
2025-07-29,98.92,Shopping,Nordstrom apparel
2025-07-29,28.07,Dining,Sushi restaurant
2025-07-29,40.22,Subscriptions,Spotify premium
2025-07-30,26.63,Dining,McDonald's meal
2025-07-30,60.75,Entertainment,Arcade gaming
2025-07-31,186.47,Shopping,Best Buy electronics
2025-07-31,33.79,Dining,Sushi restaurant
2025-07-31,25.42,Subscriptions,Disney+ subscription
2025-07-31,101.32,Utilities,Comcast internet
2025-07-31,188.81,Shopping,Home Depot supplies
2025-08-01,165.96,Shopping,Amazon order
2025-08-02,46.49,Dining,Panda Express
2025-08-02,131.13,Groceries,Walmart grocery purchase
2025-08-02,42.59,Transportation,Bus pass monthly
2025-08-02,117.35,Groceries,Costco bulk buy
2025-08-03,197.3,Utilities,AT&T phone plan
2025-08-03,104.84,Groceries,Safeway essentials
2025-08-03,191.33,Groceries,Aldi supermarket
2025-08-03,98.09,Utilities,Comcast internet
2025-08-03,32.62,Dining,Chipotle lunch
2025-08-04,97.61,Transportation,Train ticket
2025-08-04,106.34,Entertainment,Theme park tickets
2025-08-04,49.33,Transportation,Train ticket
2025-08-05,27.74,Transportation,Toll road charge
2025-08-05,77.37,Groceries,Aldi supermarket
2025-08-05,202.78,Utilities,Water utility bill
2025-08-06,132.32,Groceries,Fresh produce market
2025-08-07,26.82,Dining,McDonald's meal
2025-08-07,153.7,Entertainment,Bowling alley
2025-08-07,454.37,Transportation,UNUSUAL: Train ticket
2025-08-07,-2861.26,Salary,Bi-weekly paycheck
2025-08-07,37.71,Dining,Olive Garden dinner
2025-08-07,148.88,Utilities,Gas company payment
2025-08-08,200.69,Healthcare,Eye exam appointment
2025-08-08,1518.44,Rent,Housing lease payment
2025-08-08,48.57,Dining,Taco Bell late night
2025-08-08,152.25,Groceries,Target grocery run
2025-08-08,203.42,Shopping,Etsy handmade item
2025-08-08,199.64,Shopping,Best Buy electronics
2025-08-09,76.17,Groceries,Fresh produce market
2025-08-09,84.2,Shopping,Target household items
2025-08-09,40.15,Dining,Starbucks coffee
2025-08-10,188.65,Healthcare,CVS pharmacy
2025-08-10,77.8,Groceries,Kroger weekly shopping
2025-08-11,82.47,Groceries,Target grocery run
2025-08-11,67.29,Dining,Domino's pizza order
2025-08-11,218.09,Utilities,Phone bill
2025-08-11,152.79,Shopping,Target household items
2025-08-11,69.83,Transportation,Gas station fill-up
2025-08-11,105.07,Entertainment,Museum admission
2025-08-11,38.31,Entertainment,Streaming movie rental
2025-08-11,62.48,Dining,Domino's pizza order
2025-08-12,70.92,Groceries,Safeway essentials
2025-08-12,147.2,Groceries,Kroger weekly shopping
2025-08-12,81.0,Groceries,Whole Foods Market
2025-08-12,44.8,Utilities,Gas company payment
2025-08-13,258.4,Shopping,Best Buy electronics
2025-08-13,75.72,Dining,Pizza Hut delivery
2025-08-14,442.87,Healthcare,Doctor visit copay
2025-08-14,54.87,Dining,Taco Bell late night
2025-08-14,32.74,Dining,Domino's pizza order
2025-08-14,35.11,Dining,Taco Bell late night
2025-08-16,149.79,Groceries,Costco bulk buy
2025-08-16,116.78,Dining,Burger King drive-thru
2025-08-16,300.49,Utilities,Internet service bill
2025-08-18,76.61,Groceries,Fresh produce market
2025-08-18,21.92,Dining,Taco Bell late night
2025-08-18,1785.24,Groceries,UNUSUAL: Fresh produce market
2025-08-18,94.97,Dining,Sushi restaurant
2025-08-19,163.65,Groceries,Costco bulk buy
2025-08-19,27.95,Transportation,Toll road charge
2025-08-19,81.6,Groceries,Target grocery run
2025-08-20,127.48,Utilities,Gas company payment
2025-08-20,130.02,Utilities,Electricity monthly charge
2025-08-20,145.54,Utilities,Water utility bill
2025-08-21,103.37,Shopping,Zara clothing
2025-08-21,176.46,Shopping,Amazon order
2025-08-22,46.84,Dining,Burger King drive-thru
2025-08-22,2196.33,Utilities,UNUSUAL: Water utility bill
2025-08-22,86.19,Groceries,Fresh produce market
2025-08-22,154.13,Healthcare,Urgent care visit
2025-08-23,56.57,Transportation,Parking garage fee
2025-08-23,104.91,Shopping,Apple Store accessory
2025-08-23,56.42,Dining,Chipotle lunch
2025-08-24,215.64,Shopping,Nordstrom apparel
2025-08-24,85.38,Groceries,Target grocery run
2025-08-25,49.52,Dining,McDonald's meal
2025-08-25,117.6,Groceries,Costco bulk buy
2025-08-25,57.42,Transportation,Uber ride
2025-08-25,59.05,Dining,Burger King drive-thru
2025-08-25,124.72,Shopping,Best Buy electronics
2025-08-25,115.95,Shopping,IKEA furniture
2025-08-26,59.1,Transportation,Uber ride
2025-08-26,60.44,Transportation,Car wash service
2025-08-27,40.58,Dining,Domino's pizza order
2025-08-27,111.08,Groceries,Target grocery run
2025-08-27,102.18,Entertainment,Comedy show tickets
2025-08-27,40.92,Transportation,Gas station fill-up
2025-08-28,145.96,Utilities,Water utility bill
2025-08-28,197.52,Shopping,Target household items
2025-08-28,65.7,Dining,Panda Express
2025-08-29,32.09,Dining,Panda Express
2025-08-29,48.58,Dining,Thai food takeout
2025-08-29,20.65,Dining,Thai food takeout
2025-08-29,77.75,Transportation,Parking garage fee
2025-08-29,223.44,Subscriptions,UNUSUAL: Spotify premium
2025-08-30,124.55,Shopping,Nike online purchase
2025-08-30,56.41,Dining,Burger King drive-thru
2025-08-30,93.6,Shopping,Etsy handmade item
2025-08-31,229.57,Groceries,Costco bulk buy
2025-08-31,156.11,Healthcare,Health insurance copay
2025-08-31,249.2,Shopping,Apple Store accessory
2025-08-31,200.92,Shopping,Amazon order
2025-08-31,94.39,Entertainment,Theme park tickets
2025-09-01,329.12,Healthcare,Dental checkup
2025-09-01,33.1,Dining,Taco Bell late night
2025-09-01,88.24,Shopping,Nike online purchase
2025-09-01,235.63,Shopping,Best Buy electronics
2025-09-01,118.12,Groceries,Costco bulk buy
2025-09-02,229.79,Shopping,Home Depot supplies
2025-09-02,74.7,Transportation,Lyft trip
2025-09-02,109.62,Utilities,Electric bill payment
2025-09-02,139.71,Shopping,IKEA furniture
2025-09-03,55.26,Transportation,Lyft trip
2025-09-03,200.02,Entertainment,Museum admission
2025-09-03,314.07,Shopping,Best Buy electronics
2025-09-04,117.96,Groceries,Kroger weekly shopping
2025-09-04,121.9,Groceries,Fresh produce market
2025-09-04,117.22,Groceries,Costco bulk buy
2025-09-04,98.81,Shopping,Zara clothing
2025-09-05,48.64,Transportation,Uber ride
2025-09-05,49.5,Entertainment,Video game purchase
2025-09-05,277.09,Healthcare,Urgent care visit
2025-09-05,957.67,Rent,Monthly apartment rent
2025-09-06,92.91,Shopping,Home Depot supplies
2025-09-06,40.34,Dining,Panda Express
2025-09-06,55.17,Dining,McDonald's meal
2025-09-06,51.26,Transportation,Subway fare
2025-09-07,129.92,Groceries,Safeway essentials
2025-09-07,41.15,Dining,Starbucks coffee
2025-09-07,-5389.98,Salary,Bi-weekly paycheck
2025-09-07,181.04,Utilities,Electricity monthly charge
2025-09-08,55.67,Dining,Starbucks coffee
2025-09-08,65.48,Dining,Panda Express
2025-09-09,117.74,Groceries,Aldi supermarket
2025-09-10,33.79,Dining,Chipotle lunch
2025-09-10,14.36,Transportation,Subway fare
2025-09-10,44.75,Dining,Burger King drive-thru
2025-09-11,27.02,Transportation,Gas station fill-up
2025-09-11,71.45,Groceries,Target grocery run
2025-09-11,73.86,Transportation,Lyft trip
2025-09-12,67.8,Dining,Burger King drive-thru
2025-09-12,109.56,Groceries,Safeway essentials
2025-09-12,26.18,Dining,Domino's pizza order
2025-09-12,108.56,Groceries,Target grocery run
2025-09-12,225.22,Groceries,Fresh produce market
2025-09-12,128.88,Groceries,Trader Joe's groceries
2025-09-13,52.4,Entertainment,Escape room experience
2025-09-13,123.38,Entertainment,Concert admission
2025-09-13,18.0,Subscriptions,Adobe Creative Cloud
2025-09-14,278.56,Healthcare,Dental checkup
2025-09-14,96.8,Transportation,Parking garage fee
2025-09-14,185.14,Shopping,Home Depot supplies
2025-09-14,69.75,Groceries,Local farmer's market
2025-09-14,172.57,Utilities,Water utility bill
2025-09-14,186.85,Utilities,Electricity monthly charge
2025-09-14,105.14,Groceries,Fresh produce market
2025-09-15,53.14,Entertainment,Comedy show tickets
2025-09-15,74.34,Groceries,Aldi supermarket
2025-09-15,23.71,Transportation,Lyft trip
2025-09-15,121.56,Groceries,Aldi supermarket
2025-09-15,112.51,Entertainment,Concert admission
2025-09-15,89.45,Entertainment,Movie theater tickets
2025-09-16,61.93,Transportation,Oil change service
2025-09-16,89.93,Utilities,Water utility bill
2025-09-17,67.84,Transportation,Lyft trip
2025-09-17,69.71,Transportation,Parking garage fee
2025-09-17,413.87,Shopping,Nordstrom apparel
2025-09-17,142.28,Shopping,Target household items
2025-09-17,30.93,Transportation,Parking garage fee
2025-09-17,130.74,Groceries,Costco bulk buy
2025-09-18,32.91,Dining,Pizza Hut delivery
2025-09-18,118.34,Dining,Olive Garden dinner
2025-09-18,164.16,Groceries,Local farmer's market
2025-09-19,35.0,Dining,Pizza Hut delivery
2025-09-19,22.12,Subscriptions,Hulu streaming service
2025-09-19,299.79,Healthcare,Eye exam appointment
2025-09-19,21.7,Subscriptions,Adobe Creative Cloud
2025-09-19,79.19,Entertainment,Streaming movie rental
2025-09-20,54.34,Dining,Panda Express
2025-09-21,40.38,Dining,Chipotle lunch
2025-09-22,119.27,Groceries,Whole Foods Market
2025-09-23,68.95,Shopping,Zara clothing
2025-09-24,30.64,Dining,Local cafe breakfast
2025-09-24,148.57,Entertainment,Streaming movie rental
2025-09-24,41.47,Transportation,Toll road charge
2025-09-24,119.33,Groceries,Trader Joe's groceries
2025-09-25,38.53,Dining,Sushi restaurant
2025-09-25,16.22,Subscriptions,Spotify premium
2025-09-25,142.3,Groceries,Fresh produce market
2025-09-26,63.31,Dining,Local cafe breakfast
2025-09-26,9.52,Subscriptions,iCloud storage plan
2025-09-26,35.55,Dining,Thai food takeout
2025-09-26,34.21,Transportation,Car wash service
2025-09-27,139.14,Shopping,Best Buy electronics
2025-09-27,25.77,Transportation,Gas station fill-up
2025-09-27,26.32,Dining,Sushi restaurant
2025-09-27,27.38,Transportation,Subway fare
2025-09-28,133.04,Entertainment,Museum admission
2025-09-28,173.38,Groceries,Local farmer's market
2025-09-29,138.16,Healthcare,Doctor visit copay
